phy1,phy2,sparCC,p
Crenarchaeota,Euryarchaeota,0.3261744298089976,0
Crenarchaeota,Parvarchaeota,0.09070486085793458,0
Euryarchaeota,Parvarchaeota,-0.2482016110646096,0
Crenarchaeota,AC1,-0.16740046865655386,0
Euryarchaeota,AC1,-0.20561494581967268,0
Parvarchaeota,AC1,-0.0036603302419362573,0.8
Crenarchaeota,AD3,-0.17388141757307782,0
Euryarchaeota,AD3,-0.1308499053386717,0
Parvarchaeota,AD3,-0.015457875300269479,0.18
AC1,AD3,0.09045507976530065,0
Crenarchaeota,Acidobacteria,0.6620611712097293,0
Euryarchaeota,Acidobacteria,0.0620668565138459,0.26
Parvarchaeota,Acidobacteria,0.2087122104897563,0
AC1,Acidobacteria,-0.17740746761136902,0
AD3,Acidobacteria,-0.21181013614386096,0
Crenarchaeota,Actinobacteria,0.0886273807040917,0.15999999999999992
Euryarchaeota,Actinobacteria,0.6534575871641586,0
Parvarchaeota,Actinobacteria,-0.20263637706177823,0
AC1,Actinobacteria,-0.17376679976511406,0
AD3,Actinobacteria,-0.0635341683522741,0.04
Acidobacteria,Actinobacteria,-0.10294773868572196,0.04
Crenarchaeota,AncK6,0.42610708775913975,0
Euryarchaeota,AncK6,-0.07873029822625316,0.02
Parvarchaeota,AncK6,0.24171587120323534,0
AC1,AncK6,-0.08220358355073415,0
AD3,AncK6,-0.1458993797794627,0
Acidobacteria,AncK6,0.5677282702085935,0
Actinobacteria,AncK6,-0.17299631097859733,0
Crenarchaeota,Aquificae,-0.13565864384014875,0
Euryarchaeota,Aquificae,-0.17837034319038683,0
Parvarchaeota,Aquificae,0.02070186041594496,0.94
AC1,Aquificae,0.09388092888129249,0
AD3,Aquificae,0.06811746244663171,0
Acidobacteria,Aquificae,-0.16517506183059016,0
Actinobacteria,Aquificae,-0.14973288216147074,0
AncK6,Aquificae,-0.08544548995707457,0
Crenarchaeota,Armatimonadetes,-0.08800687174933333,0
Euryarchaeota,Armatimonadetes,-0.14811691281005354,0
Parvarchaeota,Armatimonadetes,-0.019712073494737428,0.3
AC1,Armatimonadetes,0.058506534582494114,0
AD3,Armatimonadetes,0.04578871032372231,0
Acidobacteria,Armatimonadetes,-0.10123374905767449,0
Actinobacteria,Armatimonadetes,-0.11792241296305944,0
AncK6,Armatimonadetes,-0.06298032685702043,0
Aquificae,Armatimonadetes,0.0646847523602954,0
Crenarchaeota,BHI80-139,-0.19448904386321197,0
Euryarchaeota,BHI80-139,-0.05686802826169278,0.22
Parvarchaeota,BHI80-139,-0.009827785380539338,0.44
AC1,BHI80-139,0.06920772810497411,0.020000000000000018
AD3,BHI80-139,0.10227284037248018,0
Acidobacteria,BHI80-139,-0.26923554106162684,0
Actinobacteria,BHI80-139,0.057750792364741954,0.1399999999999999
AncK6,BHI80-139,-0.17224562153213782,0
Aquificae,BHI80-139,0.06906254237894888,0
Armatimonadetes,BHI80-139,0.03182987729883176,0.020000000000000018
Crenarchaeota,BRC1,-0.04327635691001544,0.12
Euryarchaeota,BRC1,-0.1671573697695728,0
Parvarchaeota,BRC1,0.0017378671734728061,0.48
AC1,BRC1,0.027011995623016163,0.020000000000000018
AD3,BRC1,0.017941556281649732,0.3600000000000001
Acidobacteria,BRC1,-0.030659100981674306,0.5
Actinobacteria,BRC1,-0.1684363862189407,0
AncK6,BRC1,0.02560149148971857,1
Aquificae,BRC1,0.03125059983010939,0
Armatimonadetes,BRC1,0.05778798435545135,0
BHI80-139,BRC1,0.03138351588991535,0.32000000000000006
Crenarchaeota,Bacteroidetes,-0.26488437507788753,0
Euryarchaeota,Bacteroidetes,0.307797418725104,0
Parvarchaeota,Bacteroidetes,-0.28630772525200066,0
AC1,Bacteroidetes,0.03553590975278395,0.8200000000000001
AD3,Bacteroidetes,0.08284734172553629,0.1399999999999999
Acidobacteria,Bacteroidetes,-0.2748444062170504,0
Actinobacteria,Bacteroidetes,0.4045991204387305,0
AncK6,Bacteroidetes,-0.3004363018495321,0
Aquificae,Bacteroidetes,0.007943612665591498,0.6000000000000001
Armatimonadetes,Bacteroidetes,-0.010434108558097115,0.8
BHI80-139,Bacteroidetes,0.07190944249523348,0.19999999999999996
BRC1,Bacteroidetes,-0.04407328968797769,0.14
Crenarchaeota,CD12,-0.055897760681493575,0.16
Euryarchaeota,CD12,-0.21932165345771615,0
Parvarchaeota,CD12,0.300828661081892,0
AC1,CD12,0.04967785335292503,0.020000000000000018
AD3,CD12,0.05796215596628365,0.1200000000000001
Acidobacteria,CD12,-0.0017000624750044793,0.8200000000000001
Actinobacteria,CD12,-0.20109378790132804,0
AncK6,CD12,0.04745436053267059,0.15999999999999992
Aquificae,CD12,0.0731789779612919,0.020000000000000018
Armatimonadetes,CD12,0.03136275423542824,0.19999999999999996
BHI80-139,CD12,0.058866340195448785,0.3799999999999999
BRC1,CD12,0.03714260347790168,0.17999999999999994
Bacteroidetes,CD12,-0.17885337473057328,0
Crenarchaeota,Caldiserica,-0.1647322182081319,0
Euryarchaeota,Caldiserica,-0.16524802041060455,0
Parvarchaeota,Caldiserica,0.0031995064786095795,0.72
AC1,Caldiserica,0.10836336746097722,0
AD3,Caldiserica,0.08757636179185727,0
Acidobacteria,Caldiserica,-0.1625587030260883,0
Actinobacteria,Caldiserica,-0.12911353054860097,0
AncK6,Caldiserica,-0.09709037721135545,0
Aquificae,Caldiserica,0.0914253862115373,0
Armatimonadetes,Caldiserica,0.061913574542102515,0
BHI80-139,Caldiserica,0.031070991382367866,0
BRC1,Caldiserica,0.02021838521395701,0.020000000000000018
Bacteroidetes,Caldiserica,0.02339622251578849,0.7
CD12,Caldiserica,0.049596604843328854,0
Crenarchaeota,Caldithrix,-0.07312697180145561,0
Euryarchaeota,Caldithrix,-0.1357623232261737,0
Parvarchaeota,Caldithrix,0.020783356149558778,0.1200000000000001
AC1,Caldithrix,0.06725778596104022,0
AD3,Caldithrix,0.015142471775817705,0.08000000000000007
Acidobacteria,Caldithrix,-0.07987842871215217,0.02
Actinobacteria,Caldithrix,-0.1273221358121454,0
AncK6,Caldithrix,-0.046719789964768874,0.2
Aquificae,Caldithrix,0.04131011759009593,0
Armatimonadetes,Caldithrix,0.05694000295838371,0
BHI80-139,Caldithrix,0.0448191523070265,0.24
BRC1,Caldithrix,0.052183123835231146,0.08000000000000007
Bacteroidetes,Caldithrix,-0.03134978851205013,0.24
CD12,Caldithrix,0.04839984724103842,0
Caldiserica,Caldithrix,0.08504312400692211,0
Crenarchaeota,Chlamydiae,-0.04964021621683556,0.26
Euryarchaeota,Chlamydiae,-0.0177850417694856,0.9199999999999999
Parvarchaeota,Chlamydiae,-0.08671283489720512,0
AC1,Chlamydiae,-0.041818735590477454,0.06
AD3,Chlamydiae,-0.04321632896972742,0
Acidobacteria,Chlamydiae,-0.03632732548008699,0.28
Actinobacteria,Chlamydiae,0.10553898719644733,0
AncK6,Chlamydiae,-0.038873374688626394,0.04
Aquificae,Chlamydiae,-0.03883583736451095,0.22
Armatimonadetes,Chlamydiae,-0.05630185104427776,0.04
BHI80-139,Chlamydiae,0.024254171122058805,0.28
BRC1,Chlamydiae,-0.007469585069454597,0.38
Bacteroidetes,Chlamydiae,0.09440286190884181,0
CD12,Chlamydiae,-0.0751088284423782,0.02
Caldiserica,Chlamydiae,-0.03903633900943865,0.16
Caldithrix,Chlamydiae,-0.016316717998262904,0.46
Crenarchaeota,Chlorobi,-0.1001621804279953,0
Euryarchaeota,Chlorobi,-0.05740545220374155,0.22
Parvarchaeota,Chlorobi,-0.005677339362179193,0.58
AC1,Chlorobi,-0.02306998593204357,0.96
AD3,Chlorobi,0.05068304616470619,0.17999999999999994
Acidobacteria,Chlorobi,-0.090404703253160107,0
Actinobacteria,Chlorobi,0.03988722950211444,0.32000000000000006
AncK6,Chlorobi,-0.07795462177689291,0
Aquificae,Chlorobi,-0.022749983782574604,0.8200000000000001
Armatimonadetes,Chlorobi,0.0057380429378484955,1
BHI80-139,Chlorobi,0.05187352868087017,0.06000000000000005
BRC1,Chlorobi,-0.003957541277778663,0.36
Bacteroidetes,Chlorobi,0.08830998970914178,0.040000000000000036
CD12,Chlorobi,0.027840118251616135,0.5800000000000001
Caldiserica,Chlorobi,-0.01451969506546754,0.74
Caldithrix,Chlorobi,0.04312679367799557,0.41999999999999993
Chlamydiae,Chlorobi,0.017443455134176937,0.5800000000000001
Crenarchaeota,Chloroflexi,0.645050187074824,0
Euryarchaeota,Chloroflexi,0.47383629075447786,0
Parvarchaeota,Chloroflexi,-0.015122886250671066,0.5800000000000001
AC1,Chloroflexi,-0.23039491780867388,0
AD3,Chloroflexi,-0.19699971088992244,0
Acidobacteria,Chloroflexi,0.4439386972417281,0
Actinobacteria,Chloroflexi,0.4890282539520782,0
AncK6,Chloroflexi,0.24628179789992277,0
Aquificae,Chloroflexi,-0.19420450335591327,0
Armatimonadetes,Chloroflexi,-0.12747328381209655,0
BHI80-139,Chloroflexi,-0.12559491568660341,0
BRC1,Chloroflexi,-0.10881519222240321,0
Bacteroidetes,Chloroflexi,-0.1354767953227716,0.16
CD12,Chloroflexi,-0.09814739067229666,0
Caldiserica,Chloroflexi,-0.21148771188665216,0
Caldithrix,Chloroflexi,-0.1336921817524313,0
Chlamydiae,Chloroflexi,0.09463470792772943,0.10000000000000009
Chlorobi,Chloroflexi,-0.0865310402586899,0
Crenarchaeota,Cyanobacteria,-0.46098000528711014,0
Euryarchaeota,Cyanobacteria,0.3291064880674686,0
Parvarchaeota,Cyanobacteria,-0.3319531071052611,0
AC1,Cyanobacteria,0.08759007811779308,0.020000000000000018
AD3,Cyanobacteria,0.18787721765505602,0
Acidobacteria,Cyanobacteria,-0.6249579079944505,0
Actinobacteria,Cyanobacteria,0.3901023536338267,0
AncK6,Cyanobacteria,-0.5187566150435127,0
Aquificae,Cyanobacteria,0.10337849906789076,0
Armatimonadetes,Cyanobacteria,0.03230931526218446,0.10000000000000009
BHI80-139,Cyanobacteria,0.21895435591951723,0
BRC1,Cyanobacteria,-0.01907750780873889,0.28
Bacteroidetes,Cyanobacteria,0.7404096350138807,0
CD12,Cyanobacteria,-0.16007494280730947,0.02
